ID	city	2020/1/1	2020/1/2	2020/1/3	2020/1/4	2020/1/5	2020/1/6	2020/1/7	2020/1/8	2020/1/9	2020/1/10	2020/1/11	2020/1/12	2020/1/13	2020/1/14	2020/1/15	2020/1/16	2020/1/17	2020/1/18	2020/1/19	2020/1/20	2020/1/21	2020/1/22	2020/1/23	2020/1/24	2020/1/25	2020/1/26	2020/1/27	2020/1/28	2020/1/29	2020/1/30	2020/1/31	2020/2/1	2020/2/2	2020/2/3	2020/2/4	2020/2/5	2020/2/6	2020/2/7	2020/2/8	2020/2/9	2020/2/10	2020/2/11	2020/2/12	2020/2/13	2020/2/14	2020/2/15	2020/2/16	2020/2/17	2020/2/18	2020/2/19	2020/2/20	2020/2/21	2020/2/22	2020/2/23	2020/2/24	2020/2/25	2020/2/26	2020/2/27	2020/2/28	2020/2/29	2020/3/1	2020/3/2	2020/3/3	2020/3/4	2020/3/5	2020/3/6	2020/3/7	2020/3/8	2020/3/9	2020/3/10	2020/3/11	2020/3/12	2020/3/13	2020/3/14	2020/3/15	2020/3/16	2020/3/17	2020/3/18	2020/3/19
0	Shanghai	4.8945	6.8176	6.8635	5.1651	4.8698	6.961	6.8787	6.8407	6.7911	6.8167	5.2001	4.9712	6.7019	6.5873	6.5583	6.3318	6.2951	4.5989	5.2619	5.2413	4.7124	3.9841	3.2991	2.4791	1.7764	1.6174	1.6	1.5664	1.5537	1.4803	1.6171	1.5741	1.4982	1.8374	1.7304	1.7024	1.5969	1.6274	1.5089	1.5218	2.5668	2.2464	2.3472	2.3907	2.4369	1.6099	1.5291	2.7933	2.7717	2.8238	2.943	3.0464	2.0633	1.9461	3.7677	3.7491	3.7589	3.8518	3.8699	2.4827	2.3332	4.4739	4.4715	4.4859	4.5436	4.6154	3.0023	2.7748	4.8557	4.9855	5.0487	5.0644	5.0823	3.4701	3.2192	5.4881	5.5023	5.5556	5.5699
1	Guangzhou	4.1738	4.9706	5.0258	4.3151	3.9768	4.9561	4.9647	4.9618	4.9446	4.9848	4.252	3.8537	4.6548	4.5833	4.5377	4.3989	4.1736	3.3005	3.3742	3.2487	2.8781	2.4538	2.0448	1.5617	1.1917	1.1227	0.9627	0.947	0.9374	0.9329	0.9848	0.9768	0.9485	1.0975	1.0279	1.0336	1.0291	1.0444	0.9549	0.9745	1.5597	1.4749	1.5088	1.4838	1.5225	1.0751	1.0676	1.8517	1.8731	1.9262	2.0049	2.1024	1.6146	1.4733	2.5213	2.5475	2.6036	2.6547	2.7228	2.1411	1.971	3.1551	3.1712	3.0877	3.2136	3.2697	2.5126	2.2654	3.477	3.53	3.5217	3.5601	3.6065	2.847	2.5763	3.7869	3.7649	3.696	3.6785
2	Wenzhou	4.9326	5.3786	5.3901	4.9507	4.6812	5.3247	5.3005	5.2491	5.125	5.1196	4.6279	4.4512	4.6103	4.4009	4.0813	3.9768	3.9268	3.5516	3.6148	3.6722	3.5982	3.598	3.3249	2.7482	1.8264	1.673	1.8711	1.5541	1.4118	1.3071	1.2615	1.2026	1.0525	0.8953	0.7642	0.7765	0.6558	0.6946	0.667	0.7121	0.7663	0.7634	0.7709	0.7871	0.8201	0.7702	0.7898	0.9524	1.0086	1.1659	1.6243	1.8656	1.7531	1.7336	2.3377	2.3882	2.4037	2.5137	2.687	2.608	2.4639	3.1659	3.2111	3.2029	3.4446	3.4275	3.3391	2.9556	3.8217	3.917	4.0015	3.7367	4.0955	3.842	3.781	4.2979	4.2895	4.3435	4.3755
3	Shenzhen	4.1304	5.2403	5.2409	4.4248	3.9613	5.225	5.2167	5.211	5.1778	5.2437	4.4583	3.9479	4.9722	4.8992	4.8697	4.7094	4.465	3.3206	3.2696	2.9676	2.4749	1.9892	1.5428	1.066	0.8243	0.7343	0.743	0.7512	0.7781	0.7844	0.8315	0.8205	0.7947	0.9471	0.8578	0.8569	0.8678	0.878	0.7805	0.816	1.1951	1.0938	1.1562	1.1245	1.1964	0.9557	0.8624	1.5253	1.5676	1.6509	1.7648	1.903	1.4691	1.3022	2.5005	2.554	2.6447	2.7149	2.8055	2.2079	1.8428	3.3267	3.3531	3.3715	3.4149	3.5036	2.6438	2.2003	3.7794	3.8277	3.8267	3.8686	3.9341	3.0154	2.5142	4.1182	4.1056	4.0719	4.0635
4	Beijing	4.7008	6.5167	6.6137	4.857	4.5687	6.3456	6.4933	6.5695	6.5505	6.6375	5.0008	4.7315	6.4348	6.351	6.3716	6.2938	6.1884	4.4901	5.3592	5.2178	4.6594	3.9546	3.0974	2.4029	1.8254	1.6544	1.4808	1.386	1.4498	1.3431	1.5133	1.4764	1.3508	1.8071	1.6746	1.563	1.4363	1.6097	1.3753	1.3557	2.2462	2.0881	2.0954	2.1563	1.863	1.3779	1.4317	2.4975	2.4258	2.417	2.4069	2.4652	1.5908	1.5594	2.7557	2.6773	2.7353	2.7116	2.792	1.7131	1.8045	3.1671	3.0333	3.1057	3.0999	3.1469	2.0726	1.8734	3.3765	3.3717	3.4222	3.3891	3.4999	2.2523	2.2133	3.6972	3.6903	3.6853	3.6655
5	Huanggang	4.2978	4.5547	4.5539	4.2053	4.154	4.4783	4.5054	4.6521	4.3122	4.4377	4.5695	4.7733	5.0722	5.1718	4.8305	5.4302	5.6343	5.6297	6.0103	6.4254	6.2298	6.4569	6.2484	4.5861	2.7471	2.197	2.1663	2.2562	2.2681	2.1833	1.9718	1.977	1.8868	1.9086	1.8888	1.9101	1.7927	1.8898	1.8596	1.8706	1.8541	1.8633	1.9334	1.9656	2.0456	1.8985	1.7615	1.7259	1.6993	1.7054	1.734	1.7129	1.728	1.729	1.8292	1.8253	1.8034	1.7545	1.7476	1.9497	1.9788	1.9895	1.9694	2.0276	2.0561	2.0423	2.1221	2.1496	2.1408	2.3025	2.8097	3.3713	4.0189	4.6977	4.8463	4.6151	4.7982	4.8912	5.0421
6	Xiaogan	4.4601	4.7081	4.6232	4.3245	4.0333	4.3832	4.5923	4.6288	4.2819	4.5765	4.6559	4.7264	5.05	5.1506	4.7095	5.147	5.2831	5.0967	5.4714	5.8366	5.7154	5.9112	5.7562	4.5464	2.8695	2.2358	2.2105	2.0667	1.9157	1.6524	1.6138	1.6082	1.5757	1.5841	1.5392	1.5238	1.4866	1.4859	1.52	1.5128	1.4855	1.4427	1.4524	1.4779	1.5173	1.5369	1.3889	1.3856	1.3667	1.3691	1.4121	1.4164	1.3949	1.384	1.458	1.4545	1.4787	1.4111	1.419	1.5293	1.5232	1.5509	1.5413	1.5732	1.5859	1.5901	1.6015	1.6138	1.6097	1.6861	1.7285	1.7167	1.7168	1.7602	2.8012	3.5111	4.1262	4.4589	4.611
7	Wuhan	4.2826	5.2757	5.334	4.3842	4.1317	5.2662	5.2815	5.3214	5.1513	5.2171	4.4613	4.2045	5.1656	5.1121	4.9132	4.9241	4.8733	4.0436	4.3249	4.2152	3.5992	2.8838	1.9621	1.2811	0.8931	0.6259	0.6573	0.6747	0.6829	0.6645	0.6906	0.6902	0.6617	0.693	0.6791	0.6667	0.6	0.6171	0.609	0.616	0.6168	0.6076	0.5958	0.6191	0.6714	0.5963	0.5791	0.5928	0.5785	0.5739	0.5907	0.5968	0.5687	0.5693	0.6197	0.6107	0.6198	0.6085	0.613	0.6184	0.6157	0.654	0.6523	0.6699	0.6743	0.677	0.6507	0.6526	0.698	0.7233	0.7329	0.7344	0.7545	0.7147	0.7147	0.8067	0.8177	0.8371	0.8683
8	Nanchang	4.9676	5.5984	5.6661	4.918	4.713	5.7116	5.5975	5.6533	5.5251	5.5141	4.7089	4.6629	5.4517	5.3812	5.1803	5.2801	5.3831	4.7004	5.0526	5.1412	4.9222	4.5338	3.8795	3.251	2.5449	2.0385	1.7063	1.6359	1.6062	1.51	1.5142	1.4415	1.2885	1.4619	1.406	1.3673	1.1915	1.3089	1.1723	1.1836	1.4304	1.2995	1.3592	1.3786	1.4425	1.1568	1.2282	1.6547	1.7435	1.7844	1.9564	2.0178	1.6926	1.6557	2.5095	2.526	2.5714	2.6001	2.668	2.0171	2.2142	3.0921	2.8721	3.0707	3.2267	3.0509	2.6318	2.3428	3.4305	3.6364	3.6698	3.4997	3.8057	3.2236	3.1356	4.1195	4.1101	4.2459	4.3367
9	Changsha	4.6962	5.2856	5.2993	4.6151	4.4679	5.3318	5.2923	5.3035	5.2114	5.2275	4.7322	4.5657	5.2062	5.1226	4.9774	5.003	5.0247	4.4416	4.511	4.3927	4.0543	3.5254	2.9103	2.5117	1.9937	1.9348	1.6051	1.6165	1.5311	1.5202	1.4636	1.4121	1.3277	1.5027	1.4844	1.4918	1.3305	1.4783	1.5488	1.6913	2.1106	1.9395	2.0543	2.11	2.1859	1.4888	1.7042	2.3886	2.3922	2.3942	2.5747	2.5625	2.2438	2.3314	3.2375	3.2043	3.2174	3.185	3.2176	2.5563	2.8102	3.6416	3.4467	3.6231	3.7437	3.6331	3.0416	3.037	3.8388	4.0609	4.0207	3.9887	4.1346	3.6051	3.501	4.3064	4.2994	4.3926	4.435
