ID	city	2020/1/16	2020/1/17	2020/1/18	2020/1/19	2020/1/20	2020/1/21	2020/1/22	2020/1/23	2020/1/24	2020/1/25	2020/1/26	2020/1/27	2020/1/28	2020/1/29	2020/1/30	2020/1/31	2020/2/1	2020/2/2	2020/2/3	2020/2/4	2020/2/5	2020/2/6	2020/2/7	2020/2/8	2020/2/9	2020/2/10	2020/2/11	2020/2/12	2020/2/13	2020/2/14	2020/2/15	2020/2/16	2020/2/17	2020/2/18	2020/2/19	2020/2/20	2020/2/21	2020/2/22	2020/2/23	2020/2/24	2020/2/25	2020/2/26	2020/2/27	2020/2/28
0	Shanghai	0	0	0	0	0	0	0	0	0	0	1	3	4	5	5	9	10	10	12	12	25	25	30	41	44	48	53	57	62	90	124	140	161	177	186	199	211	227	249	261	268	272	276	279
1	Guangzhou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	3	3	7	13	20	27	36	42	49	70	78	93	106	121	131	142	148	157	172	190	196	204	210	222	230	240	248
2	Wenzhou	0	0	0	0	0	0	0	1	1	1	1	1	3	3	7	8	10	15	17	28	28	36	49	70	78	99	107	120	140	159	169	182	194	208	228	245	268	280	292	306	317	354	384	405
3	Shenzhen	0	0	0	0	0	0	0	2	2	2	2	2	4	4	4	4	5	5	10	13	16	22	31	39	46	56	66	81	94	104	115	131	152	163	182	199	222	226	237	249	262	271	281	299
4	Beijing	0	0	0	0	0	0	0	0	1	2	2	2	4	5	6	6	9	12	23	24	31	33	34	37	44	48	56	68	79	97	105	107	122	145	153	169	178	189	198	215	235	248	257	271
5	Huanggang	0	0	0	0	0	0	0	0	2	2	2	3	3	6	7	18	28	33	42	51	61	67	105	137	189	279	338	427	504	611	716	838	941	1059	1149	1274	1408	1540	1659	1760	1852	1948	2041	2119
6	Xiaogan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	6	9	25	38	45	81	139	179	207	255	313	353	449	523	572	673	771	917	1078	1177	1328	1388	1622	1795	2047
7	Wuhan	10	19	24	25	25	28	28	31	32	40	42	47	47	51	72	123	155	166	303	368	431	534	698	877	1044	1206	1377	1646	2016	2502	2915	3458	4219	4895	5448	6214	7206	8171	8946	10337	11793	13328	15826	17552
8	Nanchang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	4	4	6	10	14	20	26	35	46	53	61	68	73	76	89	95	114	133	145	162	178	181	184	187	193	198	202
9	Changsha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	6	6	8	10	19	27	33	39	48	57	63	66	73	88	92	98	110	125	130	141	143	152	159	164	172	174
10	Enshi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	5	6	10	10	13	20	24	31	38	48	58	71	76	81	90	96	102	112	117	123	146	151	158	164	172	181
11	Xinyang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	9	9	24	28	28	34	38	49	60	64	74	84	110	122	153	169	174	184	191	208	219	227	239	258
12	Tianmen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	10	12	12	13	21	21	27	39	55	73	133	165	198	232	258	282	286	307	332	362
13	Xiantao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	14	16	16	41	43	48	58	63	87	107	121	149	184	210	231	248	268	316	337	356	388	408
14	Chongqing	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	7	9	14	15	24	31	39	51	66	79	102	128	152	184	207	225	254	274	299	316	329	335	349	372	384	401	422
15	Shiyan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	9	14	24	33	40	46	59	70	81	89	100	116	126	144	164	187	209	239	267	293	315	348	372	389	421
16	Xianning	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	3	6	12	23	44	51	65	84	99	127	152	181	204	225	268	313	358	398	445	504	560	607	644	677
17	Jingmen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	6	6	16	21	24	36	48	63	69	81	92	105	112	117	132	143	181	201	229	296	361	389	432	469	508	534	563
18	Yichang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	9	9	11	24	36	43	52	62	72	81	92	140	156	186	208	231	250	273	289	304	328	362	396	429	462
19	Huangshi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	10	18	20	26	43	53	67	82	96	113	137	170	192	206	215	262	299	339	391	442	490	534	585	613	653	675
20	Xiangyang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	28	31	40	42	49	60	66	73	85	114	151	182	230	294	343	402	463	521	593	653	701	753	802
21	Suizhou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	9	9	9	23	23	23	26	51	62	72	96	113	140	198	254	308	386	443	498	551	601	652	693	740	797
22	Ezhou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	6	8	9	11	42	48	61	72	95	116	199	222	244	265	301	350	375	386	417	465	496	543	611	685	747
23	Jingzhou	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	4	7	10	17	21	30	34	46	56	80	102	159	192	263	305	339	409	451	531	612	681	734	776	822	867	913	965
