ID	city	2020/1/16	2020/1/17	2020/1/18	2020/1/19	2020/1/20	2020/1/21	2020/1/22	2020/1/23	2020/1/24	2020/1/25	2020/1/26	2020/1/27	2020/1/28	2020/1/29	2020/1/30	2020/1/31	2020/2/1	2020/2/2	2020/2/3	2020/2/4	2020/2/5	2020/2/6	2020/2/7	2020/2/8	2020/2/9	2020/2/10	2020/2/11	2020/2/12	2020/2/13	2020/2/14	2020/2/15	2020/2/16	2020/2/17	2020/2/18	2020/2/19	2020/2/20	2020/2/21	2020/2/22	2020/2/23	2020/2/24	2020/2/25	2020/2/26	2020/2/27	2020/2/28
0	Shanghai	0.012240461	0.009692015	0.005799117	0.004129443	0.001147062	0.002716502	0.003516663	0.086428038	0.009038242	0.01346683	0.156166274	0.440190369	0.63207512	0.841388067	0.986478396	1.123537321	0.168619181	0.148074884	0.134489734	0.124971505	0.130918907	0.159169063	0.177268411	0.226179381	0.240572998	0.203969859	0.156618175	0.17545849	0.127776744	0.109168136	0.12100462	0.217027022	0.244096047	0.318357939	0.322053655	0.188504195	0.18532581	0.214175574	0.215290398	0.242162694	0.200306136	0.200919097	0.188985741	0.167186659
1	Guangzhou	0.013488604	0.009514396	0.008707209	0.015651798	0.005959557	0.008179179	0.007721787	0.097882207	0.010831934	0.011512739	0.114207346	0.270943815	0.376482105	0.582686803	0.732858314	0.81387732	0.108113603	0.135299282	0.145369542	0.108745592	0.122773344	0.151629599	0.239781319	0.203029237	0.311680568	0.271307078	0.170631448	0.157506097	0.157004873	0.159378464	0.21618651	0.231928385	0.34445881	0.358751199	0.42035952	0.312610382	0.301565104	0.382226762	0.346019915	0.462883638	0.406454948	0.376208635	0.345547954	0.315213216
2	Wenzhou	0.004143684	0.003681949	0.003142055	0.006763793	0.002570114	0.00438496	0.00450211	0.0412551	0.009949207	0.007546612	0.026170715	0.049835492	0.055450039	0.062833589	0.066198371	0.067819663	0.009356375	0.015723922	0.009745781	0.011687151	0.003378549	0.003275323	0.002932738	0.00795311	0.001981557	0.001726386	0.001700515	0.003134246	0.001843924	0.001963068	0.002209255	0.002447863	0.006179654	0.008814487	0.011543995	0.018712323	0.030824222	0.049598199	0.086625594	0.099082205	0.150793754	0.763113628	1.614295132	0.994595587
3	Shenzhen	0.013886539	0.013164822	0.009443947	0.023124167	0.001271326	0.001838627	0.003015809	0.064412668	0.009799012	0.011186103	0.137802691	0.421658304	0.541274436	0.776279891	1.004689991	1.177681915	0.129135476	0.151325434	0.156705561	0.143649009	0.1662827	0.22768909	0.333832175	0.30610121	0.400535962	0.247999833	0.125438333	0.164225918	0.155918229	0.112865495	0.218016395	0.303629426	0.432368263	0.539422835	0.61468593	0.323774719	0.281241764	0.395260919	0.490593749	0.549766495	0.485509035	0.439768761	0.385501432	0.35446418
4	Beijing	0.014534254	0.0072205	0.004699443	0.002079751	0.000860058	0.002832715	0.00324209	0.110643277	0.005992196	0.008083669	0.177080326	0.469191518	0.66008855	0.852299707	1.111351097	1.168888597	0.062451619	0.097614738	0.120113354	0.078642632	0.07287884	0.081141414	0.077225348	0.062491603	0.09198718	0.122797507	0.107795675	0.069557203	0.076064741	0.075981113	0.077785403	0.089028026	0.098168565	0.108524252	0.094789869	0.08440749	0.057111741	0.066542257	0.056329578	0.102140018	0.078954136	0.085166375	0.075813733	0.059747599
5	Huanggang	0.253866063	0.247626298	0.419244663	1.262316055	1.390309232	2.693664554	2.788936475	2.998007247	1.813586308	0.800312457	0.432700274	0.599661888	0.590274485	0.684759943	0.760698079	0.744625617	1.208751273	2.225976774	2.013047466	2.416674696	3.550729512	4.039321508	4.829204026	5.238132552	5.715601335	6.526208373	6.012434617	12.61573674	11.67048074	12.6514917	11.61626616	11.28264386	11.82895943	12.42717176	11.73397947	12.56497553	13.42954075	15.31642448	13.33776667	14.50831811	15.63088229	15.73373385	15.13405268	15.20914674
6	Xiaogan	0.202985781	0.193166246	0.293379651	1.023759667	1.084867464	1.854728501	2.181033061	3.655252018	1.626115246	0.696504536	0.48969416	0.720555279	0.636763414	0.686573258	0.711634738	0.805881862	1.081042766	2.022378767	1.751066957	2.180280287	2.834061193	3.272217934	3.532906145	4.077107484	4.476570596	4.605911598	4.678460094	9.038877263	9.171506814	9.702788119	9.927050068	9.931179998	9.332274719	9.82269979	10.63049187	9.97758334	11.13779262	10.62696453	10.84133087	11.94802928	11.65258747	12.71685832	11.00487693	11.26067185
7	Wuhan	0	0	0	0.047068206	0.051325693	0.058540984	0.048392985	0.0738229	0.123186659	0.218471809	0.24593924	0.353469835	0.486863277	0.599195133	0.748122158	0.828167772	1.461239397	1.639180106	2.348965802	2.783977568	2.699591606	2.9470157	3.358337564	3.156635717	3.690794187	4.395199074	3.764218003	4.028193545	4.566622786	5.071767667	5.062489569	4.98101823	5.126451084	4.936905433	4.975002224	5.335243045	5.403442899	5.307594835	4.983414685	5.199942994	4.831487955	5.19730994	4.898571587	4.664280958
8	Nanchang	0.011777327	0.005642765	0.00333972	0.005126221	0.00495047	0.003640329	0.003834876	0.072115288	0.008724998	0.007198262	0.078811986	0.152383847	0.177227176	0.195933937	0.220497153	0.240022689	0.025469962	0.035961192	0.040570685	0.048116848	0.035799885	0.04564893	0.058889413	0.051566824	0.089809074	0.049569364	0.029836239	0.052904995	0.009915968	0.021316238	0.022022867	0.021453567	0.030141613	0.038858651	0.151985439	0.026430058	0.030024543	0.031486151	0.249431084	0.532030954	0.42670717	0.294194734	0.291409724	0.279255577
9	Changsha	0.015796857	0.008135662	0.003324718	0.00539275	0.003493137	0.00685241	0.002770226	0.183527015	0.004183775	0.004937704	0.26570036	0.503104145	0.687020104	0.834649695	0.995018628	0.947097047	0.03034436	0.043626117	0.087828989	0.130165003	0.183361727	0.179768115	0.276287127	0.217068088	0.246309646	0.32345353	0.151878744	0.041567301	0.182935242	0.170732296	0.255421751	0.246665885	0.335705952	0.383947436	0.359889696	0.090466096	0.083766962	0.087949705	0.085264177	0.128632136	0.395337742	0.350372838	0.440685254	0.04267626
10	Enshi	0.04318053	0.031016946	0.033433552	0.105894909	0.162968818	0.279327345	0.285980581	0.296357845	0.234970587	0.194023527	0.153617236	0.201109816	0.235178448	0.287185188	0.378299315	0.372818377	0.423876034	0.787286473	0.813204951	0.951038102	1.140345999	1.720985237	1.42623638	1.626640108	1.93127143	1.79396973	2.019058724	3.814930785	3.294170927	2.334994304	3.671746893	3.703332815	3.569466092	4.028801486	4.169728882	3.984126005	5.27813166	4.54000584	2.408194822	3.126582275	4.446178217	3.338163828	4.502294435	4.889422185
11	Xinyang	0.029953787	0.015889043	0.014171612	0.038172988	0.028938824	0.046019799	0.038835575	0.367246488	0.051671336	0.036382261	0.114370456	0.170797363	0.162905771	0.181882212	0.19816743	0.194961961	0.069760432	0.140813046	0.110608356	0.146926308	0.162343976	0.151282766	0.20895734	0.214334942	0.194372739	0.194901212	0.179576545	0.19725185	0.289520265	0.254072569	0.288825028	0.253927781	0.2442339	0.225962316	0.21626778	0.227836818	0.248848515	0.292717484	0.459294434	0.654575427	0.574894081	0.516811268	0.638199753	0.604579659
12	Tianmen	0.043697872	0.025936355	0.038312042	0.12802107	0.125009613	0.165772004	0.19273429	0.367666877	0.205498139	0.102899394	0.076853883	0.129032152	0.13276232	0.154362965	0.17679128	0.201187227	0.294627255	0.529989736	0.396113213	0.423370078	0.626598214	0.740856156	0.730659407	0.961680184	1.019954355	1.034682725	1.059064188	1.987944641	1.712833351	1.836397191	1.650079821	1.905830131	2.02958612	1.949205671	1.728838366	1.978409382	2.000866946	2.218374668	1.574181553	1.607926288	1.998705386	2.303492755	2.074428536	2.283923609
13	Xiantao	0.020572942	0.024379773	0.038456944	0.13077578	0.142337102	0.258456981	0.310921678	0.618764314	0.227643346	0.10881644	0.093690199	0.143682071	0.153909092	0.176385513	0.217934361	0.260908908	0.24237927	0.393168053	0.34943575	0.44378474	0.586828545	0.699626549	0.744144071	0.789513767	0.894627991	1.084610824	1.014668972	1.601088667	1.681661873	1.976876319	2.141411877	1.936710532	2.201345657	2.145607405	1.971210453	2.051410784	2.08999371	2.092002688	2.15501141	2.306727289	2.153208234	1.997092047	2.068020823	2.183240749
14	Chongqing	0.022378294	0.013962118	0.007466473	0.001379694	0.002540494	0.006219079	0.007005992	0.300281459	0.009665184	0.014019376	0.323911958	0.639197399	0.748485765	0.787365535	0.889022188	0.758267278	0.055877921	0.099706389	0.098171701	0.087341715	0.150038713	0.254093843	0.168960274	0.093864625	0.185704425	0.060393653	0.045560409	0.044729225	0.042150703	0.044684636	0.041125343	0.041304869	0.053279035	0.059971456	0.059394245	0.058941334	0.072102416	0.10380916	0.123932666	0.168951423	0.133667832	0.144371932	0.138218861	0.136524289
15	Shiyan	0.038629411	0.027187682	0.028308543	0.106646346	0.124650049	0.217504145	0.234625073	0.343764605	0.182615878	0.105183712	0.101429365	0.186443543	0.196152378	0.209953255	0.245151809	0.287395877	0.230507568	0.431609445	0.365952356	0.457729914	0.573254991	0.839576019	1.014819238	1.312159938	1.433020041	1.472378619	1.450717372	2.921348665	2.718722191	2.136096535	1.932074872	2.166387891	2.13977544	2.297585101	2.432900856	2.346872705	2.511358155	2.536059033	1.020866883	1.215986943	1.878138578	1.943543597	1.984393999	2.054333354
16	Xianning	0.100649977	0.080945459	0.115803417	0.408218295	0.466614468	0.741063452	0.803673307	1.211215653	0.534110262	0.233331366	0.185191936	0.275021051	0.278208447	0.302912829	0.331802133	0.345591653	0.382506744	0.780655881	0.659931431	0.764428347	0.912772373	1.339710515	1.419649942	1.794310134	1.756506558	1.819550029	1.815531864	3.901991564	4.199775491	4.381462449	3.627505584	3.643200889	3.528926205	3.700937877	3.879085201	3.773120903	3.853688914	4.396805089	4.330604922	5.003159609	5.728482349	5.41718275	5.411552995	5.460113352
17	Jingmen	0.021125645	0.02511993	0.039615761	0.124332925	0.149018874	0.247273904	0.249754387	0.792275635	0.290122633	0.153511746	0.197411865	0.238986501	0.237775653	0.286656235	0.320484046	0.360825609	0.278879982	0.501519474	0.440590261	0.550218375	0.709010015	0.744206736	0.861873801	0.968578378	1.093743421	1.142879889	1.198881079	2.521623113	2.010429501	2.219441253	2.38458559	2.415726577	2.065390013	2.395340323	2.171174649	2.077364359	2.195053474	2.374454074	1.768680534	2.196292592	2.53863089	2.699626478	2.704264647	2.585013781
18	Yichang	0.060639268	0.035899615	0.036103187	0.149102294	0.184227983	0.314041518	0.326806434	0.576476991	0.265155344	0.18780559	0.165518214	0.254457653	0.299758144	0.384730908	0.435354865	0.464601785	0.392567695	0.743770524	0.680029988	0.796016801	1.070095473	1.151024666	1.385520224	1.548494463	1.957390686	1.878613634	1.960998262	3.513757818	3.714783426	3.243765651	3.290362786	3.226459458	3.520073546	3.430412256	3.236943429	3.730060124	3.723750142	3.81925022	2.677478802	3.099456537	3.778758351	3.922740453	3.586346722	4.333043429
19	Huangshi	0.079997498	0.058164413	0.068587009	0.196913399	0.168040247	0.244178209	0.247696955	0.851372487	0.204634449	0.127859662	0.199884256	0.298150304	0.322692627	0.408990709	0.473923147	0.486175674	0.606636373	0.937595761	0.782183103	0.810590572	0.985335844	1.102920578	1.310689404	1.43250779	1.547103359	1.708309067	1.633816483	3.226001408	3.050904216	3.186449271	2.606805712	2.72430293	3.011189974	2.93781387	3.07855251	3.007962768	3.17641419	3.376864468	3.293202875	3.24205346	3.882906871	3.622023475	3.492906884	3.235811134
20	Xiangyang	0.026902532	0.032964322	0.049074126	0.160420481	0.148898178	0.257958448	0.244336597	0.839028733	0.268895148	0.193956947	0.25803042	0.407459787	0.439658048	0.450080726	0.464198381	0.469494255	0.35119396	0.678117737	0.535103788	0.645291917	0.815136559	0.919751312	0.987961615	1.18567214	1.351850291	1.524350109	1.587814716	2.940363264	2.782355092	2.879092826	3.160564311	2.421452544	2.753193059	2.910345814	2.475964458	2.566568041	2.726550129	2.693562902	1.817895822	2.252863912	2.813145119	2.992445272	2.92971682	2.900231516
21	Suizhou	0.05602344	0.040639685	0.051376369	0.149097103	0.15971695	0.250956605	0.227509393	0.843243377	0.22065042	0.1134505	0.132277367	0.179034631	0.164696191	0.166169484	0.17169601	0.185463889	0.191694602	0.366055453	0.261190773	0.335044019	0.475194511	0.513904385	0.583952403	0.623643982	0.606232891	0.609153064	0.729629897	1.51392584	1.137464545	1.148210107	1.138158119	1.424051067	1.285218163	1.293262649	1.274675883	1.205649474	1.311593814	1.466330543	1.280997421	1.349110983	1.483720646	1.602153551	1.373290956	1.50268442
