ID,city,population,2020/1/16,2020/1/17,2020/1/18,2020/1/19,2020/1/20,2020/1/21,2020/1/22,2020/1/23,2020/1/24,2020/1/25,2020/1/26,2020/1/27,2020/1/28,2020/1/29,2020/1/30,2020/1/31,2020/2/1,2020/2/2,2020/2/3,2020/2/4,2020/2/5,2020/2/6,2020/2/7,2020/2/8,2020/2/9,2020/2/10,2020/2/11,2020/2/12,2020/2/13,2020/2/14,2020/2/15,2020/2/16,2020/2/17,2020/2/18,2020/2/19,2020/2/20,2020/2/21,2020/2/22,2020/2/23,2020/2/24,2020/2/25,2020/2/26,2020/2/27,2020/2/28
0,上海市,2424,0,0,0,0,2,9,16,20,33,40,53,66,80,112,128,153,177,193,208,233,257,269,281,292,295,302,306,313,318,326,328,331,333,333,333,334,334,335,335,335,336,337,337,337
1,广州市,1498.44,0,0,0,0,0,2,3,7,14,17,39,51,63,79,106,137,175,189,216,237,255,284,298,304,313,317,323,327,328,335,338,339,339,339,339,339,343,345,345,346,346,346,346,346
2,温州市,925,0,0,0,0,0,2,4,6,10,18,32,60,114,173,227,241,265,291,340,364,396,421,438,448,464,474,481,490,496,499,502,503,504,504,504,504,504,504,504,504,504,504,504,504
3,深圳市,1302.66,0,0,0,1,8,14,15,15,20,27,36,36,63,86,110,170,196,226,269,289,314,334,351,364,368,375,386,391,400,406,414,415,416,416,416,416,417,417,417,417,417,417,417,417
4,北京市,2154,0,0,0,0,5,10,14,26,36,51,68,80,91,111,121,156,183,212,228,253,274,297,315,326,337,342,352,366,372,375,380,381,387,393,395,396,399,399,399,400,400,410,410,411
5,黄冈市,750,0,0,0,12,12,12,12,12,64,122,154,213,324,496,573,726,1002,1246,1422,1645,1807,1897,2041,2141,2252,2332,2398,2628,2791,2817,2823,2831,2828,2844,2866,2883,2899,2904,2904,2904,2904,2904,2904,2904
6,孝感市,580,0,0,0,0,0,0,0,22,26,55,100,173,274,399,541,628,749,918,1120,1462,1886,2141,2313,2436,2541,2642,2751,2874,3009,3114,3201,3279,3320,3344,3410,3427,3429,3443,3465,3482,3501,3516,3517,3518
7,武汉市,908.35,41,45,62,198,198,299,363,433,572,618,698,1590,1905,2261,2639,3215,4109,5142,6384,7828,10117,11618,13603,14982,16902,18454,19558,32081,35991,37914,39462,41152,42752,44412,45027,45346,45660,46201,46607,47071,47423,47824,48137,48557
8,南昌市,554.55,0,0,0,0,0,0,0,1,2,4,8,17,25,46,67,83,89,103,121,134,149,162,168,179,189,195,204,210,217,222,227,228,229,229,229,229,229,229,229,229,229,229,230,230
9,长沙市,815.47,0,0,0,0,0,1,4,8,8,18,22,24,46,57,68,86,112,125,148,164,179,190,196,205,213,219,223,228,238,241,241,241,241,241,242,242,242,242,242,242,242,242,242,242
10,恩施市,78.09,0,0,0,0,0,0,0,0,11,17,25,38,51,66,75,87,105,111,123,138,144,157,160,171,187,195,203,229,237,244,247,249,250,249,249,250,251,251,251,251,251,251,251,252
11,信阳市,647.41,0,0,0,0,0,0,0,1,5,22,23,29,32,42,49,70,88,99,112,138,164,176,192,205,220,228,231,240,243,252,261,262,266,268,269,270,273,274,274,274,274,274,274,274
12,天门市,160.92,0,0,0,0,0,0,0,0,3,5,13,23,34,44,67,82,99,115,117,128,138,163,179,197,217,261,293,362,416,422,447,485,500,486,488,492,493,494,494,495,496,496,496,496
13,仙桃市,154.3,0,0,0,0,0,0,0,2,10,11,12,27,32,55,90,97,140,169,188,225,265,307,359,379,416,438,460,480,500,514,523,531,544,562,567,568,571,571,573,575,575,575,575,575
14,重庆市,3048.43,0,0,0,0,0,5,9,27,57,75,110,132,147,165,206,238,262,300,337,366,389,411,426,446,468,486,505,518,529,537,544,551,553,555,560,567,572,573,575,576,576,576,576,576
15,十堰市,340.6,0,0,0,0,0,0,0,1,5,20,40,65,88,119,150,177,212,256,291,318,353,395,438,467,481,505,536,562,586,597,602,612,626,638,643,656,659,667,669,671,671,671,671,671
16,咸宁市,253.51,0,0,0,0,0,0,0,0,7,43,64,91,112,130,166,206,246,296,348,384,399,443,476,493,507,515,525,532,732,840,852,861,868,832,834,834,836,836,836,836,836,836,836,836
17,荆门市,300,0,0,0,0,0,1,1,8,21,38,90,114,142,191,227,251,329,345,400,422,508,553,588,629,641,656,696,880,901,902,909,915,900,901,906,912,914,918,920,920,922,923,924,924
18,宜昌市,416.92,0,0,0,0,0,0,0,1,1,20,31,51,63,117,167,281,353,392,452,496,563,610,633,711,749,772,784,810,877,906,901,895,904,907,910,914,914,917,924,926,927,929,931,931
19,黄石市,268.93,0,0,0,0,0,0,0,0,0,31,36,53,86,113,168,209,252,334,405,509,566,635,703,760,805,835,874,911,943,980,988,983,985,983,985,992,997,1001,1005,1008,1011,1013,1013,1013
20,襄阳市,605,0,0,0,0,0,0,0,0,0,2,36,70,131,163,286,327,441,548,632,735,787,838,907,988,1019,1063,1088,1101,1111,1128,1144,1155,1163,1165,1168,1171,1173,1173,1174,1175,1175,1175,1175,1175
21,随州市,221,0,0,0,0,0,0,0,0,5,36,52,70,116,143,228,304,384,458,641,706,834,915,953,984,1049,1095,1129,1160,1206,1232,1254,1267,1278,1280,1288,1292,1296,1300,1303,1305,1306,1307,1307,1307
22,鄂州市,107.69,0,0,0,0,0,0,0,0,1,1,20,57,84,123,189,227,278,306,332,382,423,471,569,639,725,790,861,1056,1125,1192,1230,1274,1339,1343,1368,1373,1375,1379,1383,1385,1387,1389,1389,1390
23,荆州市,641,0,0,0,0,0,0,6,8,10,33,47,71,101,151,221,287,333,499,613,713,801,885,941,997,1045,1075,1110,1393,1447,1478,1490,1501,1537,1541,1553,1560,1566,1574,1574,1576,1577,1579,1579,1579
